reef section;specimen_id;genus;mean growth
back reef;VD1;Porites;3,629487179
back reef;VD2;Porites;3,42452381
back reef;VD3;Porites;4,55
back reef;VD4;Porites;2,28972973
back reef;VD5;Pavona;3,547647059
back reef;VD6;Actinacis;1,940555556
back reef;VD7;Actinacis;2,836086957
back reef;VD8;Pavona;1,045
back reef;VD9;Tarbellastraea;2,287272727
back reef;VD10;Porites;3,6952
back reef;VD11;Tarbellastraea;3,309736842
back reef;VD12;Porites;3,5912
reef flat;LSD1;Poriticae;1,417692308
reef flat;LSD2;Poriticae;1,185384615
reef flat;LSD3;Poriticae;2,38875
reef front;SC1;Actinacis;5,472876712
reef front;SC2;Poriticae;3,000952381
reef front;SC3;Poriticae;3,4325
reef front;SC4;Porites;2,739090909
reef front;SC5;Porites;5,605066667
reef front;SC6;Porites;4,7788
reef front;SC7;Actinacis;2,68
reef front;SC8;Porites;3,5753125
reef front;SC9;Actinacis;2,018125
reef front;SC10;Poriticae;2,446206897
reef front;SC11;Poriticae;5,275625
reef front;SC12;Poriticae;3,183913043
reef front;SC13;Astreopora;2,704166667
reef front;SC14;Actinacis;2,855588235
reef front;SC15;Poriticae;1,9234
reef front;SC16;Poriticae;3,982142857
proximal slope;PMD1;Poriticae;3,85125
proximal slope;PMD2;Poriticae;2,165609756
proximal slope;PMD3;Poriticae;1,238888889
proximal slope;PMD4;Porites;2,111428571
proximal slope;PMD5;Poriticae;2,406153846
proximal slope;PMD6;Poriticae;2,372
proximal slope;PMD7;Poriticae;1,398333333
proximal slope;PMD8;Poriticae;2,306
