specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm);comments
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,64;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,28;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,04;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,3;massive 
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;0,99;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,14;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,07;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,33;
LCD1a;Porites;LC;39,7991317;18,3720781;15;9;1,52;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,07;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,18;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,63;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,69;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,83;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,62;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,5;
LCD1b;Porites;LC;39,7991317;18,3720781;15;9;1,86;
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,95;columnar, horizontal extension measured
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,76;
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,18;
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,4;
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,15;
LCD2;Porites;LC;39,7991317;18,3720781;NA;NA;2,44;
LCD3a;Porites;LC;39,7991317;18,3720781;NA;20;1,52;columnar, horizontal extension measured, see photo
LCD3a;Porites;LC;39,7991317;18,3720781;NA;20;1,4;
LCD3a;Porites;LC;39,7991317;18,3720781;NA;20;1,47;
LCD3a;Porites;LC;39,7991317;18,3720781;NA;20;2,65;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,4;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,14;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,12;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,28;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,21;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,4;
LCD3b;Porites;LC;39,7991317;18,3720781;NA;20;1,52;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,5;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;0,91;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,38;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,96;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,18;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,57;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,28;
LCD3c;Porites;LC;39,7991317;18,3720781;NA;20;1,59;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;2,8;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;2,14;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;1,82;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;1,62;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;1,6;
LCD4a;Porites;LC;39,7991317;18,3720781;21;8;1,25;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,21;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,48;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;2,02;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,77;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,34;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,3;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,09;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,37;
LCD4b;Porites;LC;39,7991317;18,3720781;21;8;1,33;
LCD5;Porites;LC;39,7991317;18,3720781;NA;NA;2,92;columnar, horizontal extension measured
LCD5;Porites;LC;39,7991317;18,3720781;NA;NA;1,65;
LCD5;Porites;LC;39,7991317;18,3720781;NA;NA;1,45;
